Ward,District,Area,Latitude,Longitude
Phường 8,Quận 10,"Phường 8, Quận 10",10.76529,106.66587
Phường 2,Quận 10,"Phường 2, Quận 10",10.76302,106.67364
Phường 4,Quận 10,"Phường 4, Quận 10",10.76417,106.66964
Phường 7,Quận 10,"Phường 7, Quận 10",10.76218,106.66112
Phường 5,Quận 10,"Phường 5, Quận 10",10.76147,106.66669
Phường 6,Quận 10,"Phường 6, Quận 10",10.76179,106.66355
Phường 3,Quận 10,"Phường 3, Quận 10",10.76264,106.67188
Phường 15,Quận 11,"Phường 15, Quận 11",10.77069,106.65599
Phường 5,Quận 11,"Phường 5, Quận 11",10.77259,106.64638
Phường 14,Quận 11,"Phường 14, Quận 11",10.76849,106.64851
Phường 11,Quận 11,"Phường 11, Quận 11",10.76547,106.65059
Phường 3,Quận 11,"Phường 3, Quận 11",10.76207,106.63952
Phường 10,Quận 11,"Phường 10, Quận 11",10.76316,106.64315
Phường 13,Quận 11,"Phường 13, Quận 11",10.76441,106.65338
Phường 8,Quận 11,"Phường 8, Quận 11",10.76148,106.64843
Phường 9,Quận 11,"Phường 9, Quận 11",10.76211,106.64534
Phường 12,Quận 11,"Phường 12, Quận 11",10.76112,106.65257
Phường 7,Quận 11,"Phường 7, Quận 11",10.761,106.65956
Phường 6,Quận 11,"Phường 6, Quận 11",10.75909,106.65345
Phường 4,Quận 11,"Phường 4, Quận 11",10.75752,106.65362
Phường 1,Quận 11,"Phường 1, Quận 11",10.75641,106.63899
Phường 2,Quận 11,"Phường 2, Quận 11",10.75705,106.64369
Phường 16,Quận 11,"Phường 16, Quận 11",10.75624,106.64867
Phường 12,Quận 4,"Phường 12, Quận 4",10.76624,106.70528
Phường 13,Quận 4,"Phường 13, Quận 4",10.76174,106.70962
Phường 9,Quận 4,"Phường 9, Quận 4",10.76385,106.70161
Phường 6,Quận 4,"Phường 6, Quận 4",10.76114,106.6998
Phường 8,Quận 4,"Phường 8, Quận 4",10.76046,106.70236
Phường 10,Quận 4,"Phường 10, Quận 4",10.7611,106.7061
Phường 5,Quận 4,"Phường 5, Quận 4",10.7595,106.69749
Phường 18,Quận 4,"Phường 18, Quận 4",10.75852,106.71515
Phường 14,Quận 4,"Phường 14, Quận 4",10.758,106.70902
Phường 4,Quận 4,"Phường 4, Quận 4",10.75612,106.70337
Phường 3,Quận 4,"Phường 3, Quận 4",10.75535,106.69942
Phường 16,Quận 4,"Phường 16, Quận 4",10.75415,106.7109
Phường 2,Quận 4,"Phường 2, Quận 4",10.75642,106.69502
Phường 15,Quận 4,"Phường 15, Quận 4",10.7541,106.70829
Phường 1,Quận 4,"Phường 1, Quận 4",10.75472,106.69124
Phường 4,Quận 5,"Phường 4, Quận 5",10.76152,106.67953
Phường 9,Quận 5,"Phường 9, Quận 5",10.75855,106.67084
Phường 3,Quận 5,"Phường 3, Quận 5",10.75916,106.68044
Phường 12,Quận 5,"Phường 12, Quận 5",10.75633,106.66105
Phường 2,Quận 5,"Phường 2, Quận 5",10.75655,106.6811
Phường 8,Quận 5,"Phường 8, Quận 5",10.75614,106.67183
Phường 15,Quận 5,"Phường 15, Quận 5",10.75496,106.65294
Phường 7,Quận 5,"Phường 7, Quận 5",10.75441,106.67459
Phường 1,Quận 5,"Phường 1, Quận 5",10.75396,106.68198
Phường 11,Quận 5,"Phường 11, Quận 5",10.7534,106.66285
Phường 14,Quận 5,"Phường 14, Quận 5",10.75226,106.65539
Phường 5,Quận 5,"Phường 5, Quận 5",10.75153,106.67487
Phường 6,Quận 5,"Phường 6, Quận 5",10.75188,106.6695
Phường 10,Quận 5,"Phường 10, Quận 5",10.75147,106.66279
Phường 13,Quận 5,"Phường 13, Quận 5",10.74926,106.65711
Phường 14,Quận 6,"Phường 14, Quận 6",10.75847,106.63002
Phường 13,Quận 6,"Phường 13, Quận 6",10.75386,106.62849
Phường 9,Quận 6,"Phường 9, Quận 6",10.75219,106.64041
Phường 6,Quận 6,"Phường 6, Quận 6",10.75159,106.6451
Phường 12,Quận 6,"Phường 12, Quận 6",10.75047,106.63534
Phường 5,Quận 6,"Phường 5, Quận 6",10.74856,106.64252
Phường 11,Quận 6,"Phường 11, Quận 6",10.74522,106.63282
Phường 2,Quận 6,"Phường 2, Quận 6",10.75045,106.65098
Phường 1,Quận 6,"Phường 1, Quận 6",10.74735,106.65203
Phường 4,Quận 6,"Phường 4, Quận 6",10.74612,106.64562
Phường 8,Quận 6,"Phường 8, Quận 6",10.74208,106.63958
Phường 3,Quận 6,"Phường 3, Quận 6",10.74368,106.64693
Phường 7,Quận 6,"Phường 7, Quận 6",10.73946,106.64018
Phường 10,Quận 6,"Phường 10, Quận 6",10.73765,106.62931
Phường 8,Quận 8,"Phường 8, Quận 8",10.75032,106.67979
Phường 2,Quận 8,"Phường 2, Quận 8",10.74697,106.68576
Phường 1,Quận 8,"Phường 1, Quận 8",10.74564,106.6895
Phường 3,Quận 8,"Phường 3, Quận 8",10.74558,106.68299
Phường 11,Quận 8,"Phường 11, Quận 8",10.74863,106.66512
Phường 9,Quận 8,"Phường 9, Quận 8",10.74692,106.6727
Phường 10,Quận 8,"Phường 10, Quận 8",10.74663,106.66474
Phường 4,Quận 8,"Phường 4, Quận 8",10.7412,106.67647
Phường 13,Quận 8,"Phường 13, Quận 8",10.74564,106.65523
Phường 12,Quận 8,"Phường 12, Quận 8",10.74549,106.65857
Phường 5,Quận 8,"Phường 5, Quận 8",10.73948,106.66213
Phường 14,Quận 8,"Phường 14, Quận 8",10.7403,106.65234
Phường 6,Quận 8,"Phường 6, Quận 8",10.7359,106.65212
Phường 15,Quận 8,"Phường 15, Quận 8",10.73317,106.64059
Phường 16,Quận 8,"Phường 16, Quận 8",10.72001,106.62321
Phường 7,Quận 8,"Phường 7, Quận 8",10.7049,106.62009
Phường Bình Hưng Hòa,Quận Bình Tân,"Phường Bình Hưng Hòa, Quận Bình Tân",10.80635,106.59995
Phường Bình Hưng Hoà A,Quận Bình Tân,"Phường Bình Hưng Hoà A, Quận Bình Tân",10.78956,106.6041
Phường Bình Hưng Hoà B,Quận Bình Tân,"Phường Bình Hưng Hoà B, Quận Bình Tân",10.79995,106.5832
Phường Bình Trị Đông,Quận Bình Tân,"Phường Bình Trị Đông, Quận Bình Tân",10.76616,106.61719
Phường Bình Trị Đông A,Quận Bình Tân,"Phường Bình Trị Đông A, Quận Bình Tân",10.76993,106.59154
Phường Bình Trị Đông B,Quận Bình Tân,"Phường Bình Trị Đông B, Quận Bình Tân",10.74546,106.6094
Phường Tân Tạo,Quận Bình Tân,"Phường Tân Tạo, Quận Bình Tân",10.75625,106.59257
Phường Tân Tạo A,Quận Bình Tân,"Phường Tân Tạo A, Quận Bình Tân",10.7491,106.58507
Phường  An Lạc,Quận Bình Tân,"Phường  An Lạc, Quận Bình Tân",10.72476,106.61105
Phường An Lạc A,Quận Bình Tân,"Phường An Lạc A, Quận Bình Tân",10.74406,106.61864
Phường Tân Thuận Đông,Quận 7,"Phường Tân Thuận Đông, Quận 7",10.75934,106.73746
Phường Tân Thuận Tây,Quận 7,"Phường Tân Thuận Tây, Quận 7",10.75329,106.72301
Phường Tân Kiểng,Quận 7,"Phường Tân Kiểng, Quận 7",10.75009,106.70969
Phường Tân Hưng,Quận 7,"Phường Tân Hưng, Quận 7",10.74506,106.69856
Phường Bình Thuận,Quận 7,"Phường Bình Thuận, Quận 7",10.74249,106.71725
Phường Tân Quy,Quận 7,"Phường Tân Quy, Quận 7",10.74257,106.71011
Phường Phú Thuận,Quận 7,"Phường Phú Thuận, Quận 7",10.72986,106.74407
Phường Tân Phú,Quận 7,"Phường Tân Phú, Quận 7",10.72619,106.7246
Phường Tân Phong,Quận 7,"Phường Tân Phong, Quận 7",10.7302,106.70033
Phường Phú Mỹ,Quận 7,"Phường Phú Mỹ, Quận 7",10.70531,106.73848
Thị trấn Củ Chi,Huyện Củ Chi,"Thị trấn Củ Chi, Huyện Củ Chi",10.97419,106.49181
Xã Phú Mỹ Hưng,Huyện Củ Chi,"Xã Phú Mỹ Hưng, Huyện Củ Chi",11.13043,106.47916
Xã An Phú,Huyện Củ Chi,"Xã An Phú, Huyện Củ Chi",11.11356,106.50139
Xã Trung Lập Thượng,Huyện Củ Chi,"Xã Trung Lập Thượng, Huyện Củ Chi",11.06775,106.43912
Xã An Nhơn Tây,Huyện Củ Chi,"Xã An Nhơn Tây, Huyện Củ Chi",11.07437,106.48584
Xã Nhuận Đức,Huyện Củ Chi,"Xã Nhuận Đức, Huyện Củ Chi",11.04235,106.48395
Xã Phạm Văn Cội,Huyện Củ Chi,"Xã Phạm Văn Cội, Huyện Củ Chi",11.03889,106.53591
Xã Phú Hòa Đông,Huyện Củ Chi,"Xã Phú Hòa Đông, Huyện Củ Chi",11.02474,106.56309
Xã Trung Lập Hạ,Huyện Củ Chi,"Xã Trung Lập Hạ, Huyện Củ Chi",11.02484,106.46944
Xã Trung An,Huyện Củ Chi,"Xã Trung An, Huyện Củ Chi",11.01148,106.59798
Xã Phước Thạnh,Huyện Củ Chi,"Xã Phước Thạnh, Huyện Củ Chi",11.02507,106.42831
Xã Phước Hiệp,Huyện Củ Chi,"Xã Phước Hiệp, Huyện Củ Chi",10.98083,106.44678
Xã Tân An Hội,Huyện Củ Chi,"Xã Tân An Hội, Huyện Củ Chi",10.95915,106.47613
Xã Phước Vĩnh An,Huyện Củ Chi,"Xã Phước Vĩnh An, Huyện Củ Chi",10.98386,106.52219
Xã Thái Mỹ,Huyện Củ Chi,"Xã Thái Mỹ, Huyện Củ Chi",10.98808,106.39391
Xã Tân Thạnh Tây,Huyện Củ Chi,"Xã Tân Thạnh Tây, Huyện Củ Chi",10.98491,106.55937
Xã Hòa Phú,Huyện Củ Chi,"Xã Hòa Phú, Huyện Củ Chi",10.97946,106.61131
Xã Tân Thạnh Đông,Huyện Củ Chi,"Xã Tân Thạnh Đông, Huyện Củ Chi",10.9555,106.59687
Xã Bình Mỹ,Huyện Củ Chi,"Xã Bình Mỹ, Huyện Củ Chi",10.95509,106.63038
Xã Tân Phú Trung,Huyện Củ Chi,"Xã Tân Phú Trung, Huyện Củ Chi",10.94745,106.55196
Xã Tân Thông Hội,Huyện Củ Chi,"Xã Tân Thông Hội, Huyện Củ Chi",10.94494,106.51025
Thị trấn Hóc Môn,Huyện Hóc Môn,"Thị trấn Hóc Môn, Huyện Hóc Môn",10.88602,106.59308
Xã Tân Hiệp,Huyện Hóc Môn,"Xã Tân Hiệp, Huyện Hóc Môn",10.91084,106.58782
Xã Nhị Bình,Huyện Hóc Môn,"Xã Nhị Bình, Huyện Hóc Môn",10.91328,106.67031
Xã Đông Thạnh,Huyện Hóc Môn,"Xã Đông Thạnh, Huyện Hóc Môn",10.90453,106.64377
Xã Tân Thới Nhì,Huyện Hóc Môn,"Xã Tân Thới Nhì, Huyện Hóc Môn",10.91736,106.56264
Xã Thới Tam Thôn,Huyện Hóc Môn,"Xã Thới Tam Thôn, Huyện Hóc Môn",10.89222,106.61262
Xã Xuân Thới Sơn,Huyện Hóc Môn,"Xã Xuân Thới Sơn, Huyện Hóc Môn",10.88206,106.5568
Xã Tân Xuân,Huyện Hóc Môn,"Xã Tân Xuân, Huyện Hóc Môn",10.87015,106.59934
Xã Xuân Thới Đông,Huyện Hóc Môn,"Xã Xuân Thới Đông, Huyện Hóc Môn",10.86733,106.58927
Xã Trung Chánh,Huyện Hóc Môn,"Xã Trung Chánh, Huyện Hóc Môn",10.86853,106.60985
Xã Xuân Thới Thượng,Huyện Hóc Môn,"Xã Xuân Thới Thượng, Huyện Hóc Môn",10.85558,106.56355
Xã Bà Điểm,Huyện Hóc Môn,"Xã Bà Điểm, Huyện Hóc Môn",10.84298,106.59598
Thị trấn Tân Túc,Huyện Bình Chánh,"Thị trấn Tân Túc, Huyện Bình Chánh",10.69157,106.57373
Xã Phạm Văn Hai,Huyện Bình Chánh,"Xã Phạm Văn Hai, Huyện Bình Chánh",10.84724,106.52896
Xã Vĩnh Lộc A,Huyện Bình Chánh,"Xã Vĩnh Lộc A, Huyện Bình Chánh",10.82988,106.56608
Xã Vĩnh Lộc B,Huyện Bình Chánh,"Xã Vĩnh Lộc B, Huyện Bình Chánh",10.79037,106.5627
Xã Bình Lợi,Huyện Bình Chánh,"Xã Bình Lợi, Huyện Bình Chánh",10.78209,106.51163
Xã Lê Minh Xuân,Huyện Bình Chánh,"Xã Lê Minh Xuân, Huyện Bình Chánh",10.76482,106.52429
Xã Tân Nhựt,Huyện Bình Chánh,"Xã Tân Nhựt, Huyện Bình Chánh",10.71232,106.55256
Xã Tân Kiên,Huyện Bình Chánh,"Xã Tân Kiên, Huyện Bình Chánh",10.71666,106.58148
Xã Bình Hưng,Huyện Bình Chánh,"Xã Bình Hưng, Huyện Bình Chánh",10.72625,106.66815
Xã Phong Phú,Huyện Bình Chánh,"Xã Phong Phú, Huyện Bình Chánh",10.70131,106.63686
Xã An Phú Tây,Huyện Bình Chánh,"Xã An Phú Tây, Huyện Bình Chánh",10.68742,106.59391
Xã Hưng Long,Huyện Bình Chánh,"Xã Hưng Long, Huyện Bình Chánh",10.65833,106.60798
Xã Đa Phước,Huyện Bình Chánh,"Xã Đa Phước, Huyện Bình Chánh",10.66741,106.65313
Xã Tân Quý Tây,Huyện Bình Chánh,"Xã Tân Quý Tây, Huyện Bình Chánh",10.66741,106.59757
Xã Bình Chánh,Huyện Bình Chánh,"Xã Bình Chánh, Huyện Bình Chánh",10.6605,106.58224
Xã Quy Đức,Huyện Bình Chánh,"Xã Quy Đức, Huyện Bình Chánh",10.64279,106.63806
Thị trấn Nhà Bè,Huyện Nhà Bè,"Thị trấn Nhà Bè, Huyện Nhà Bè",10.69307,106.74165
Xã Phước Kiển,Huyện Nhà Bè,"Xã Phước Kiển, Huyện Nhà Bè",10.70558,106.70701
Xã Phước Lộc,Huyện Nhà Bè,"Xã Phước Lộc, Huyện Nhà Bè",10.70282,106.68735
Xã Nhơn Đức,Huyện Nhà Bè,"Xã Nhơn Đức, Huyện Nhà Bè",10.67367,106.69959
Xã Phú Xuân,Huyện Nhà Bè,"Xã Phú Xuân, Huyện Nhà Bè",10.67857,106.74947
Xã Long Thới,Huyện Nhà Bè,"Xã Long Thới, Huyện Nhà Bè",10.65179,106.72544
Xã Hiệp Phước,Huyện Nhà Bè,"Xã Hiệp Phước, Huyện Nhà Bè",10.60454,106.75734
Thị trấn Cần Thạnh,Huyện Cần Giờ,"Thị trấn Cần Thạnh, Huyện Cần Giờ",10.41461,106.96089
Xã Bình Khánh,Huyện Cần Giờ,"Xã Bình Khánh, Huyện Cần Giờ",10.64709,106.78568
Xã Tam Thôn Hiệp,Huyện Cần Giờ,"Xã Tam Thôn Hiệp, Huyện Cần Giờ",10.59591,106.85677
Xã An Thới Đông,Huyện Cần Giờ,"Xã An Thới Đông, Huyện Cần Giờ",10.54799,106.83315
Xã Thạnh An,Huyện Cần Giờ,"Xã Thạnh An, Huyện Cần Giờ",10.47086,106.97479
Xã Long Hòa,Huyện Cần Giờ,"Xã Long Hòa, Huyện Cần Giờ",10.49588,106.86906
Xã Lý Nhơn,Huyện Cần Giờ,"Xã Lý Nhơn, Huyện Cần Giờ",10.51632,106.77028
